discount_bucket,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,non_promo_daily_avg,member_pop_up_sales,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,lift_per_discount_point
<10%,20,16,12,0.6,1919.7799999999997,2352.19,432.4100000000003,0.2252393503422269,0.06100000000000001,0.054281271812395185,4.149485500647264
10-14.9%,98,47,33,0.336734693877551,3190.4099999999994,3821.62,631.2100000000005,0.19784604486570712,0.10234693877551021,0.10592268705276127,1.867834458987599
15-19.9%,44,22,12,0.2727272727272727,2721.82,2334.96,-386.8600000000001,-0.14213283758661488,0.16250000000000006,0.17012271200887638,-0.8354724416760938
20-24.9%,181,121,79,0.43646408839779005,15750.62,17820.96,2070.3399999999983,0.13144498438791605,0.20928176795580108,0.21938260208169577,0.5991586531504778
25%+,125,42,31,0.248,2003.11,2288.11,285.0000000000002,0.1422787565335904,0.3295199999999999,0.3016661591225644,0.47164308037542835
