brand_catalog,supplier_id,supplier_name,srm,sku,class_name,marketing_category,discount_pct,non_promo_daily_avg,member_pop_up_sales,lift_pct,incremental_sales,active_on_event,positive_lift
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,ICXK2397,Bath Towels,Bath,0.35,3.11,0.0,-1.0,-3.11,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,ICXK2398,Bath Towels,Bath,0.35,3.11,0.0,-1.0,-3.11,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,VWB11379,Dining Linens,Tabletop,0.1,3.02,0.0,-1.0,-3.02,False,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,AAOF1760,Curtains & Drapes,Window,0.22,3.0,0.0,-1.0,-3.0,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,VWB11436,"Placemats, Chargers, & Napkins",Tabletop,0.1,3.0,19.96,5.664,16.96,True,True
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,DELN1013,Blinds and Shades,Window,0.24,2.99,5.68,0.899,2.6899999999999995,True,True
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,WRLO6228,Curtains & Drapes,Window,0.25,2.95,0.0,-1.0,-2.95,False,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,AAOF1802,Curtains & Drapes,Window,0.22,2.93,0.0,-1.0,-2.93,False,False
Wayfair US,23034,Ramallah Trading Company,Benjamin Hannigan,BGLS9402,Curtains & Drapes,Window,0.25,2.88,0.0,-1.0,-2.88,False,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,AAOF1170,Curtains & Drapes,Window,0.22,2.88,0.0,-1.0,-2.88,False,False
Wayfair US,33318,Natco Home,Supplier Service Desk,MBSY1079,Curtains & Drapes,Window,0.4,2.87,0.0,-1.0,-2.87,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1743,Dining Linens,Tabletop,0.1,2.8,0.0,-1.0,-2.8,False,False
Wayfair US,23034,Ramallah Trading Company,Benjamin Hannigan,QLKO2202,Curtains & Drapes,Window,0.25,2.75,0.0,-1.0,-2.75,False,False
