class_name,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,l10_non_promo_daily_avg,member_monday_sales,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,weighted_b2b_discount_pct,weighted_rec_discount_pct,lift_per_discount_point
Bedding Sets,1459,533,432,0.29609321453050036,61879.7,74572.59999999999,12692.899999999994,0.20512219677858803,0.18050089102124742,0.1894975361386691,0.2983847100267461,0.38965333127091056,1.0824531070867605
Sheets & Pillowcases,320,148,105,0.328125,18679.149999999998,23267.68,4588.5300000000025,0.24564982881983405,0.16738468750000002,0.1640848161185065,0.22452637862826602,0.3606213920366649,1.4970905573762479
Blankets And Throws,203,82,60,0.2955665024630542,8907.37,10379.49,1472.119999999999,0.16526988325397943,0.1763399014778325,0.13193480600895663,0.2212155068293216,0.3661840008390832,1.2526632528095716
Accent Pillows,421,116,95,0.22565320665083136,6505.28,10207.13,3701.8499999999995,0.5690531383737517,0.19762470308788596,0.16715711099291655,0.2029443325488143,0.40697224332927745,3.404301109259216
Bed Skirts,25,13,9,0.36,725.92,880.3299999999999,154.40999999999997,0.21270938946440376,0.24517200000000003,0.2304110370288737,0.2660054499287794,0.36896512362351974,0.9231736127195519
Kids Bedding Sets,68,17,16,0.23529411764705882,828.3000000000001,816.0699999999999,-12.230000000000132,-0.014765181697452771,0.1355029411764706,0.1367558662320415,0.3311293472768108,0.4268049113083393,-0.10796744669365659
Bedding Accessories,8,2,2,0.25,27.540000000000003,25.78,-1.7600000000000016,-0.06390704429920122,0.2043125,0.22237091503267972,0.27488474399164053,0.3910280991735537,-0.2873894020259323
