discount_bucket,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,l10_non_promo_daily_avg,member_monday_sales,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,weighted_b2b_discount_pct,weighted_rec_discount_pct,lift_per_discount_point
<10%,330,123,106,0.3212121212121212,12112.510000000002,16328.31,4215.799999999997,0.34805337622012256,0.05240151515151515,0.05699669019881097,0.10277533878618592,0.3111857428438442,6.106554170182033
10-14.9%,441,136,105,0.23809523809523808,15446.15,15590.739999999998,144.58999999999833,0.009360908705405445,0.11214421768707485,0.10907143929069704,0.26414721961417664,0.3780817876031574,0.08582364701777488
15-19.9%,621,234,179,0.2882447665056361,25448.559999999998,30245.85,4797.290000000001,0.1885092908989743,0.15791352657004828,0.15839372278824423,0.3272046347078955,0.41595471541285867,1.1901310707305708
20-24.9%,646,290,224,0.34674922600619196,30061.280000000006,38752.67,8691.389999999992,0.2891224192715676,0.21294117647058824,0.21237397010373474,0.25380756435526686,0.35658106236781195,1.3613835025561036
25%+,466,128,105,0.22532188841201717,14484.760000000002,19231.51,4746.749999999996,0.32770649979702776,0.32299678111587987,0.3141258918338999,0.34638689245150067,0.4478535440368327,1.0432330104463623
