baseline_success_tier,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,non_promo_avg,loyalty_avg,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,lift_per_discount_point
Low baseline,626,272,249,0.3977635782747604,2275.48,4128.66,1853.1799999999998,0.8144127832369433,0.1813656549520767,0.17737937665899062,4.591361174995223
Mid-low baseline,623,347,266,0.42696629213483145,6280.96,7858.879999999999,1577.9199999999992,0.2512227430201751,0.1694067415730337,0.16968390660026492,1.4805337056035395
Mid-high baseline,624,436,234,0.375,16019.84,14435.97,-1583.8700000000008,-0.09886927709640052,0.16719038461538463,0.16932482565368942,-0.5839030202140134
High baseline,624,580,254,0.40705128205128205,92676.18,91428.05000000002,-1248.1299999999756,-0.013467646163231756,0.16508413461538463,0.19114479426104963,-0.07045782342802791
