class_name,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,non_promo_avg,loyalty_avg,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,lift_per_discount_point
Bedding Sets,1500,857,533,0.35533333333333333,64730.38999999999,63191.56,-1538.8299999999945,-0.023772914082550632,0.17278913333333332,0.20458605375311345,-0.11620007154172331
Sheets & Pillowcases,260,191,122,0.46923076923076923,20778.17,23420.46,2642.290000000001,0.1271666369078702,0.1428896153846154,0.18413865821677278,0.6906026042514459
Accent Pillows,1006,485,342,0.3399602385685885,18262.07,20634.79,2372.720000000001,0.12992612557065006,0.17867624254473163,0.15606302516177467,0.8325234336318218
Blankets And Throws,315,166,104,0.33015873015873015,11086.480000000001,11502.02,415.53999999999905,0.03748168940908196,0.17387904761904763,0.13921346062952353,0.2692389747341219
Bed Skirts,37,26,11,0.2972972972972973,1116.1299999999999,891.1599999999999,-224.97000000000003,-0.201562541997796,0.22470270270270265,0.24452646913889964,-0.8242974378503841
Kids Bedding Sets,76,34,19,0.25,1087.6699999999998,739.4000000000001,-348.26999999999975,-0.3201982218871531,0.10247500000000002,0.09068529149466291,-3.530872720478576
Bedding Accessories,19,10,8,0.42105263157894735,189.01000000000002,245.84,56.829999999999984,0.30067192212052263,0.2636842105263158,0.32882440082535314,0.9143844598084344
