discount_bucket,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,non_promo_avg,loyalty_avg,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,lift_per_discount_point
<10%,608,346,227,0.37335526315789475,19872.409999999996,20470.95,598.5400000000045,0.030119145086076857,0.047144078947368426,0.04365931303752288,0.6898675904540925
10-14.9%,838,483,316,0.37708830548926014,23378.829999999998,25482.53,2103.7000000000007,0.08998311720475323,0.10519534606205252,0.10687500465164426,0.8419472588380266
15-19.9%,389,218,141,0.36246786632390743,21503.6,23303.909999999996,1800.3099999999977,0.08372133038188945,0.1625077120822622,0.16007394654972776,0.5230165944330047
20-24.9%,681,307,200,0.2936857562408223,19136.65,20020.729999999996,884.0799999999945,0.046198263541424145,0.20927812041116003,0.20590554700012806,0.22436628937148262
25%+,697,415,255,0.36585365853658536,33358.43,31347.11,-2011.3199999999997,-0.06029420449343688,0.32914791965566714,0.33415926556190606,-0.18043553091981174
