display_sku,prsku,category,color_count,sales_ltm_fandd_net_revenue,ordercount_ltm
CHMB2412,CHMB2412,Bath,24,30586.34,1033
W000499305,CHLH1776,Bath,19,30544.91,789
LLIJ1682,LLIJ1682,Window,15,30187.23,90
W000998997,CCHM1015,Bath,10,30170.32,898
W007006477,JHAA1004,Bedding,27,30051.53,849
W005303771,DCNV1569,Window,12,29827.38,909
W112985443,IOHU1766,Bath,10,29780.6,838
VRKG3609,VRKG3609,Window,12,29673.27,748
WLAO4457,WLAO4457,Bedding,11,29625.22,404
W100863006,TWXL1700,Bedding,20,29603.37,453
W113174433,VCFE1430,Window,11,29408.79,437
GSTL1203,GSTL1203,Bedding,11,29345.1,770
W002854987,CHMB2471,Bedding,13,29337.16,483
W003197843,SBTU1540,Bedding,16,29127.8,413
W112358255,ANSL1088,Bath,18,29108.15,1148
W005271429,DBYH8467,Bedding,15,28968.49,394
W004999524,BL24233,Window,13,28930.19,493
PLYH1140,PLYH1140,Bath,10,28722.2,627
JLYI1293,JLYI1293,Bedding,19,28701.9,704
W003474210,TCTZ1163,Bedding,12,28684.01,1029
W005163408,LURR1171,Bath,10,28667.66,671
W003305147,NDPJ2912,Bath,16,28596.17,768
W004326055,DCNV1502,Bedding,24,28542.42,1495
W004680374,SUBX1472,Bath,13,28434.12,1657
BDUR1186,BDUR1186,Bedding,18,28395.94,642
RVAN1038,RVAN1038,Bedding,34,28386.15,665
AXBT1043,AXBT1043,Bedding,12,28373.95,295
W005198679,GSNB1045,Window,11,28241.85,606
W005042146,HREN1377,Bedding,21,28240.2,881
TWXL1656,TWXL1656,Bedding,17,28147.4,352
W006894559,GPDH1229,Window,11,28119.35,776
W113555648,OPAH1068,Window,12,27906.15,951
CEZM1174,CEZM1174,Bedding,24,27849.54,509
W004774578,WRLO1337,Window,20,27755.6,566
W001658772,DSLY1004,Bath,13,27656.96,845
W004948350,DCNV1551,Bedding,24,27535.88,1320
W004807466,HSHD1373,Bedding,14,27511.21,609
W005063021,OPCO2587,Window,10,27320.22,360
W002985646,HREN1255,Bedding,24,27181.56,906
W004281323,ANDV2989,Bedding,13,27123.96,1169
LTDR8190,LTDR8190,Bath,11,26994.72,320
BDUR1689,BDUR1689,Bedding,10,26952.86,459
KBFC2412,KBFC2412,Bedding,12,26849.93,904
W110289387,BTLL1330,Bedding,14,26783.91,750
W000559316,SHOH1001,Bedding,19,26692.19,1172
W006561819,VQM12608,Bedding,17,26525.97,185
TWXL1663,TWXL1663,Bedding,27,26510.51,642
W001995530,NDPJ2053,Bath,11,26474.97,657
W100463710,ALTL5927,Bedding,12,26086.93,993
PLYH1216,PLYH1216,Bath,10,26084.69,639
BDUR1244,BDUR1244,Bedding,18,25979.54,682
W008136814,SWET2156,Window,13,25965.61,526
W009623254,ENDG1411,Bedding,12,25880.7,480
W003641862,DDCJ3361,Bedding,10,25734.54,405
W005404755,LATD3917,Window,12,25654.94,464
AUGV4138,AUGV4138,Bedding,23,25649.39,495
EDIV2432,EDIV2432,Bedding,21,25442.12,615
DRBC2365,DRBC2365,Bedding,17,25438.56,504
W110410283,IPCR1016,Bedding,14,25390.82,659
BDUR1568,BDUR1568,Bedding,28,25379.39,1220
W004147714,OAOH1000,Bedding,28,25262.48,637
W110257797,ACRY2888,Bedding,20,25222.51,608
W005011694,BCND1001,Window,10,25075.52,205
W100465082,ACRY2856,Bedding,19,24967.72,727
W100644401,ZYWR1834,Bath,21,24897.33,363
W011431258,GNF10268,Bedding,12,24828.46,334
W113215878,GSNB1174,Window,15,24736.64,483
W100440115,ACRY2854,Bedding,19,24710.64,633
W003467605,WDLN1434,Bath,11,24664.91,553
NDIS1000,NDIS1000,Bath,10,24498.59,359
W009319024,HAEQ1501,Bath,11,24443.66,351
W002081730,BDOK1048,Bedding,11,24345.28,444
ABBC1030,ABBC1030,Bedding,16,24330.81,177
W001868524,AAUV1213,Bedding,11,24192.21,378
RRGE1231,RRGE1231,Bedding,11,24134.83,291
LLIJ1310,LLIJ1310,Window,12,24066.83,173
CST28349,CST28349,Bath,11,24057.62,474
TWXL1584,TWXL1584,Bedding,14,23750.17,310
W009893559,PHSC1118,Bedding,15,23738.27,689
CKAI1018,CKAI1018,Bedding,14,23728.74,604
W005932786,CHMB1525,Bedding,12,23719.2,439
W003772230,AGRV4741,Window,16,23650.5,421
W114267478,CSTU3485,Bath,12,23557.13,610
ULIH4094,ULIH4094,Bedding,11,23476.89,315
W005454364,DCNV1574,Window,15,23406.8,573
LLIJ1207,LLIJ1207,Bedding,19,23375.42,704
W004844143,WRRS1519,Bath,21,23314.69,764
W003985302,WRLO6193,Window,12,23182.83,435
QLLB1005,QLLB1005,Bedding,12,23093.93,358
W009198240,ENDG1239,Bedding,23,23078.49,534
EYQN6663,EYQN6663,Window,14,23065.59,357
W005483444,ZPCD3840,Bedding,20,22869.15,296
W005486379,CHMB2475,Bedding,33,22843.65,746
W111683870,DCNV2015,Window,10,22822.3,389
CKAI1020,CKAI1020,Bedding,26,22764.96,870
W001756910,ANEW4416,Bedding,14,22764.05,530
W005406079,ENDE6647,Bath,19,22762.88,409
DCNV1832,DCNV1832,Window,15,22751.58,449
BDUR1374,BDUR1374,Bedding,17,22513.55,762
SHOH1008,SHOH1008,Bedding,19,22511.33,654
W111064100,KBFC2318,Bath,10,22494.36,719
W113683908,OPAH1084,Window,11,22486.0,395
W113213981,GSNB1172,Window,27,22415.97,517
W100004680,TKMK1789,Bedding,10,22128.44,642
BDUR2345,BDUR2345,Bedding,10,22111.24,461
W010440156,CEZM1233,Bedding,10,22104.31,452
W010234719,ULIH2965,Bedding,10,21957.29,286
TWXL1381,TWXL1381,Bedding,15,21946.48,452
W007255729,LATD5627,Bedding,19,21863.25,434
W005060245,LFMF4293,Bedding,18,21800.02,796
W001311025,HVQ10003,Bedding,12,21729.48,69
W005270418,EMPG1000,Bedding,18,21727.86,975
W005406889,LTDR6758,Bedding,19,21520.42,286
W005404933,RBSD3317,Bedding,13,21341.51,470
LTDR4880,LTDR4880,Bedding,18,21208.54,342
W009451694,ULIH2834,Bedding,12,21201.42,270
W112384636,ANSL1091,Bath,13,21091.55,784
W110173992,ZYWR2026,Window,17,21060.25,510
KBPK5052,KBPK5052,Bedding,10,21059.92,433
W007726779,HVQ11085,Bedding,14,21048.54,278
SEDZ1051,SEDZ1051,Bedding,27,20835.67,840
BKIE1028,BKIE1028,Bedding,16,20806.69,149
MCRW6752,MCRW6752,Bedding,10,20799.47,317
LCST1051,LCST1051,Bedding,16,20739.58,393
W004999501,WDLN3448,Bath,10,20622.25,455
