discount_bucket,b2b_support_segment,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,l10_non_promo_daily_avg,member_monday_sales,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,weighted_b2b_discount_pct,weighted_rec_discount_pct,lift_per_discount_point
<10%,With No B2B Discount,20,0,0,0.0,206.76,0.0,-206.76,-1.0,0.05023500000000001,0.04952137744244534,0.04892301184433165,0.4799667101953956,-20.19329937181611
<10%,With 5%+ Incremental B2B Discount,23,3,2,0.08695652173913043,935.76,1170.95,235.19000000000005,0.2513358126015218,0.054330434782608704,0.06075856843635121,0.4362000213730016,0.49800134106833416,4.136631574274391
10-14.9%,With No B2B Discount,29,1,1,0.034482758620689655,32.25,220.55,188.3,5.838759689922481,0.11379310344827587,0.12,0.12999999999999998,0.43431072295002426,48.65633074935401
10-14.9%,With 5%+ Incremental B2B Discount,10,2,2,0.2,65.42,160.20000000000002,94.78000000000002,1.448792418220728,0.11600000000000002,0.11999999999999998,0.46144990828492816,0.3994768266585142,12.0732701518394
15-19.9%,With No B2B Discount,89,10,8,0.0898876404494382,2455.41,3379.3199999999997,923.9099999999999,0.3762752452747199,0.16216404494382022,0.160649654029266,0.23561282915863838,0.38811923124025377,2.342210118959688
15-19.9%,With 5%+ Incremental B2B Discount,68,18,8,0.11764705882352941,1580.4699999999998,1496.7800000000002,-83.6899999999996,-0.0529526027067895,0.15837941176470588,0.16234860516175573,0.45097261827178003,0.45636638341759117,-0.32616604653936065
20-24.9%,With No B2B Discount,20,3,3,0.15,49.6,157.38,107.78,2.172983870967742,0.21258500000000002,0.21403572580645158,0.21454551407989525,0.2892655241935484,10.152435359939535
20-24.9%,With 5%+ Incremental B2B Discount,52,9,7,0.1346153846153846,3906.2200000000003,4084.41,178.1899999999996,0.045616990338485694,0.21727307692307696,0.2195779551586956,0.27369691492030657,0.4194381340528695,0.2077484978194506
25%+,With No B2B Discount,52,3,3,0.057692307692307696,161.32000000000002,223.15,61.829999999999984,0.38327547731217443,0.28213846153846156,0.292459831391024,0.3430665760869565,0.4882382501145212,1.310523484504538
25%+,With 5%+ Incremental B2B Discount,9,2,1,0.1111111111111111,178.79999999999998,223.87,45.07000000000002,0.2520693512304252,0.27222222222222225,0.25,0.4888053691275168,0.4999502460850112,1.0082774049217007
