class_name,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,l10_non_promo_daily_avg,member_monday_sales,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,weighted_b2b_discount_pct,weighted_rec_discount_pct,lift_per_discount_point
Curtains & Drapes,278,38,25,0.08992805755395683,8790.999999999998,9721.98,930.9800000000014,0.10590149016039149,0.17919496402877697,0.17632184051871236,0.3249641357078974,0.4278169901705894,0.600614704615408
Blinds and Shades,22,4,4,0.18181818181818182,502.65999999999997,1124.8,622.14,1.2376954601519914,0.1704545454545455,0.18215791986631122,0.45549681316899127,0.45150684398313323,6.794628864121621
Valances & Kitchen Curtains,64,9,6,0.09375,278.35,269.83000000000004,-8.519999999999982,-0.030608945572121363,0.1534625,0.17413162205855937,0.37131830677784194,0.40247021115048087,-0.17578051137562922
Curtain Hardware & Accessories,8,0,0,0.0,0.0,0.0,0.0,,0.15,0.15,0.25,,
