discount_bucket,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,l10_non_promo_daily_avg,member_monday_sales,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,weighted_b2b_discount_pct,weighted_rec_discount_pct,lift_per_discount_point
<10%,43,3,2,0.046511627906976744,1142.52,1170.95,28.430000000000064,0.024883590659244535,0.05242558139534882,0.058724992122676185,0.3677391765637371,0.4947185355718525,0.4237308471197893
10-14.9%,39,3,3,0.07692307692307693,97.67,380.75,283.08,2.8983311149790105,0.11435897435897435,0.11999999999999998,0.3874314733467886,0.40782189933744034,24.15275929149176
15-19.9%,157,28,16,0.10191082802547771,4035.88,4876.099999999999,840.2199999999993,0.2081875576082538,0.1605248407643312,0.16131497145603935,0.4428078898189013,0.41488327522933505,1.290565629024631
20-24.9%,72,12,10,0.1388888888888889,3955.8199999999997,4241.79,285.97000000000025,0.07229095358231676,0.21597083333333333,0.2195084639847112,0.27346658362000165,0.4178059663988755,0.329331052980954
25%+,61,5,4,0.06557377049180328,340.12,447.02000000000004,106.90000000000003,0.3143008349994121,0.28067540983606554,0.2701388333529343,0.4599399892357375,0.49455321311178796,1.1634789085980113
